Timestamps,Type1,Data1
08/06/2020,ESG-STD,0.629379709
09/06/2020,ESG-STD,0.627228169
10/06/2020,ESG-STD,0.625015756
11/06/2020,ESG-STD,0.624091264
12/06/2020,ESG-STD,0.624235498
13/06/2020,ESG-STD,0.623590933
14/06/2020,ESG-STD,0.625281111
15/06/2020,ESG-STD,0.625847425
16/06/2020,ESG-STD,0.625298672
17/06/2020,ESG-STD,0.625740594
18/06/2020,ESG-STD,0.625513761
19/06/2020,ESG-STD,0.623296853
20/06/2020,ESG-STD,0.62546223
21/06/2020,ESG-STD,0.626424625
22/06/2020,ESG-STD,0.625625193
23/06/2020,ESG-STD,0.624571604
24/06/2020,ESG-STD,0.625176326
25/06/2020,ESG-STD,0.626992587
26/06/2020,ESG-STD,0.628143472
27/06/2020,ESG-STD,0.63003459
28/06/2020,ESG-STD,0.630264995
29/06/2020,ESG-STD,0.630655159
30/06/2020,ESG-STD,0.628523839
01/07/2019,SDG-STD,1.083816786
02/07/2019,SDG-STD,1.085352625
03/07/2019,SDG-STD,1.086332131
04/07/2019,SDG-STD,1.08568077
05/07/2019,SDG-STD,1.084972569
06/07/2019,SDG-STD,1.085313733
07/07/2019,SDG-STD,1.08454031
08/07/2019,SDG-STD,1.085525826
09/07/2019,SDG-STD,1.086334524
10/07/2019,SDG-STD,1.085587409
11/07/2019,SDG-STD,1.084897253
12/07/2019,SDG-STD,1.085897947
13/07/2019,SDG-STD,1.088117184
14/07/2019,SDG-STD,1.088040715
15/07/2019,SDG-STD,1.087457328
16/07/2019,SDG-STD,1.08554155
17/07/2019,SDG-STD,1.085366555
18/07/2019,SDG-STD,1.085846473
19/07/2019,SDG-STD,1.089492066
20/07/2019,SDG-STD,1.089521779
21/07/2019,SDG-STD,1.090132885
22/07/2019,SDG-STD,1.090681109
23/07/2019,SDG-STD,1.091300264
24/07/2019,SDG-STD,1.090903618
25/07/2019,SDG-STD,1.086886781
26/07/2019,SDG-STD,1.08488752
27/07/2019,SDG-STD,1.084438127
28/07/2019,SDG-STD,1.0825115
29/07/2019,SDG-STD,1.081081505
30/07/2019,SDG-STD,1.079874398
31/07/2019,SDG-STD,1.08069363
01/08/2019,SDG-STD,1.081403439
02/08/2019,SDG-STD,1.084035187
03/08/2019,SDG-STD,1.085355409
04/08/2019,SDG-STD,1.087639486
05/08/2019,SDG-STD,1.091941937
06/08/2019,SDG-STD,1.094164908
07/08/2019,SDG-STD,1.094111407
08/08/2019,SDG-STD,1.092466489
09/08/2019,SDG-STD,1.092898119
10/08/2019,SDG-STD,1.092465899
11/08/2019,SDG-STD,1.091292215
12/08/2019,SDG-STD,1.092135097
13/08/2019,SDG-STD,1.095088019
14/08/2019,SDG-STD,1.098557589
15/08/2019,SDG-STD,1.100745016
16/08/2019,SDG-STD,1.102178188
17/08/2019,SDG-STD,1.101686537
18/08/2019,SDG-STD,1.100180776
19/08/2019,SDG-STD,1.097814711
20/08/2019,SDG-STD,1.095322162
21/08/2019,SDG-STD,1.093814153
22/08/2019,SDG-STD,1.094040891
23/08/2019,SDG-STD,1.095122964
24/08/2019,SDG-STD,1.09581502
25/08/2019,SDG-STD,1.094754314
26/08/2019,SDG-STD,1.093885984
27/08/2019,SDG-STD,1.093276724
28/08/2019,SDG-STD,1.091484691
29/08/2019,SDG-STD,1.090842525
30/08/2019,SDG-STD,1.090204646
31/08/2019,SDG-STD,1.091545
01/09/2019,SDG-STD,1.094108606
02/09/2019,SDG-STD,1.095973299
